4.037063438243743141e-01,8.401154827444273776e-01
7.915493385632560441e-01,1.788847205313739419e+00
9.386061433062581338e-01,1.997871349787855744e+00
1.033595776697131985e+00,2.214653164271752406e+00
1.109965855448697525e+00,2.378859780519869016e+00
1.370432309961123085e+00,2.943761046458009734e+00
1.480399663668239718e+00,3.246805224170461468e+00
1.484002507881109878e+00,3.233322864751159820e+00
2.071175095405256350e+00,3.919648588225558949e+00
2.206546114479765563e+00,3.954211233842814366e+00
2.442055943974145826e+00,3.986728692042985411e+00
2.592089939364716322e+00,3.913976189250476967e+00
2.899189050947725388e+00,3.684306615720461142e+00
3.058719314513228760e+00,3.356942990235446622e+00
3.143939544397416519e+00,3.260978642277173378e+00
3.692201480994850016e+00,2.151508019147983841e+00
3.829539282401577704e+00,1.853067481426957874e+00
4.353661530886881792e+00,8.098902920286706886e-01
4.399685156006394315e+00,7.271495744333646982e-01
4.593054539689608085e+00,5.125144641957168901e-01
